name,Control,H3.3 KD1,RefID
Wdr36,K4,K4,NM_144863
Akirin2,K4,K4,NM_001007589
Best3,K4,,NM_001007583
Trp53rka,K4,K4,NM_001007581
Fndc3c1,K4,K4,NM_001007580
Igsf1,K4,,NM_183336
Igsf1,K4,K4,NM_183335
1810013L24Rik,K4,K4,NM_001081400
Etohd2,K4,K4,NR_015349
Birc7,K4,,NM_001163247
Zfp729b,K4,K4,NM_001163246
Nqo2,K4,K4,NM_001163241
Fis1,K4,K4,NM_001163243
Nqo2,K4,K4,NM_001163242
Dis3l,K4,K4,NM_001001295
Thnsl1,K4,K4,NM_001001297
Rpl34,K4,K4,NM_026724
Dusp23,K4,K4,NM_026725
Ankrd13d,K4,K4,NM_026720
Slc39a13,K4,K4,NM_026721
Echdc2,K4,K4,NM_026728
Mrpl58,K4,K4,NM_026729
